LONDON,1,tothom,"Degut a l'amenaça d'un virus mortal haureu de trobar alguna manera per simular un pandèmia i poder preparar-nos. Aqui teniu una pista ""P*** I**"".",Plague Inc,100
LONDON,2,tothom,"Ara que tenim el gran simulador Plague Inc necessitem trobar la IP de l'empresa de Nintendo, ja que creiem que son els responsables d'això perquè la gent es quedi a casa i compri més els seus videojocs. Quan posis la IP a la resposta posala sense punts i els números tots junts.",2051667653,100
LONDON,3,tothom,"Si l'heu trobat necesitem saber que teniu una bona mental·litat per superar problemes, no per nosaltres, sinò per vosaltres perquè ho passareu molt malament si no esteu preparats. Jugueu al buscamines i completeu-lo amb dificultat fàcil. Un cop sigui completat poseu el codi BUSCAMINES.",BUSCAMINES,200
LONDON,4,gm,"Molt bé, hem vist que esteu preparats, ara us podem demanar que entreu a la http://www.milliondollarhomepage.com/ i trobeu un nom relacionat amb l'informàtica ja que ens podría ser útil per entrar als servidors de Nintendo i trobar la cura per aquest virus!",WEBHOSTING,200
LONDON,5,gs,Haureu d'utilitzar els vostres telèfons mòbils per desxifrar un codi ocult i enviar els drons amb la vacuna utilitzant aquests codis. (amb el teclat i un bloc de notes en teniu suficient)! El codi és TOQPW.,59102,100
Tokyo,1,tothom,"Les màquines de cafè estan destruint el món per culpa d'un virus anomenat ""CafeZ"". Nosaltres som La Resistència però per detenir-les, necessitem saber si sou capaços. El primer de tot, volem saber la vostra capacitat física. Canvi.

Missió: Graveu-se fent 5 flexions i envieu-ho al correu ecano8@boscdelacoma.cat",87951,100
Tokyo,2,tothom,"Ara sabem que esteu en bona forma física, però no només necessitem força, també necessitem que tingueu coneixements d'informàtica 
per així detenir el virus. Canvi. 

Missió: Entreu en el servidor i trobeu l'arxiu ocult amb extensió “.txt” en un laberint de carpetes tan ocultes com no, 
començant per al directori home. Dir que no està dintre d'una carpeta d'usuari. 

El codi que necessitareu estarà xifrat amb AES. 

La primera pàgina web que trobareu, serà possiblement la correcta per el desxifratge amb AES, recorda canviar el mode a desxifratge
a la web. 

ACCÉS Usuaris: cafe1, cafe2, cafe3... [Pots utilitzar l'usuari amb el número que t'agradi, fins al màxim de 50 números]

Pass: patata 
IP SSH: 13.93.89.25",67453,100
Tokyo,3,gm,"Encara que hem vist que teniu força i coneixements, no sabem si podem confiar amb vosaltres perquè podríeu ser qui va crear el virus. 

Per poder-nos fiar de vosaltres, necessitarem un codi. Missió: El codi esta ocult dins la pagina: http://donuts.batcave.net/",262656,100
Tokyo,4,gs,"Encara que hem vist que teniu força i coneixements, no sabem si podem confiar amb vosaltres perquè podríeu ser 
qui va crear el virus. Per poder-nos fiar de vosaltres, necessitarem un codi. Canvi.

Missió: Sumar tots els nombres parells de (l’1 - al 1024)

Amb Java s’haurà de realitzar un programa que permet-hi sumar els nombres parells des de 1 fins 1024.

El resultat, és el codi.",262656,100
Tokyo,5,tothom,"[WINDOWS] Ens heu demostrat que també sou de fiar, per la qual us donarem un programa que hem creat per detenir el virus. 

Sabem que el nostre programa pot eliminar-lo però..., tot i això, ens ho ha posat difícil i no hem pogut amb ell. 
Podreu vosaltres acabar amb ell? (Hi ha un arxiu Ajuda.txt dins la carpeta del joc, un cop descarregat i descomprimit) Canvi. 

https://drive.google.com/file/d/1P4wwXqz4XiR3_8WWqL-ZFowHGlnKeYTZ/view?usp=sharing 

Missió: Passar-se el joc.",11037,200
