Tokyo,1,tothom,"Les màquines de cafè estan destruint el món per culpa d'un virus anomenat ""CafeZ"". Nosaltres som La Resistència però per detenir-les, necessitem saber si sou capaços. El primer de tot, volem saber la vostra capacitat física. Canvi.

Missió: Graveu-se fent 5 flexions i envieu-ho al correu ecano8@boscdelacoma.cat",87951,100
Tokyo,2,tothom,"Ara sabem que esteu en bona forma física, però no només necessitem força, també necessitem que tingueu coneixements d'informàtica 
per així detenir el virus. Canvi. 

Missió: Entreu en el servidor i trobeu l'arxiu ocult amb extensió “.txt” en un laberint de carpetes tan ocultes com no, 
començant per al directori home. Dir que no està dintre d'una carpeta d'usuari. 

El codi que necessitareu estarà xifrat amb AES. 

La primera pàgina web que trobareu, serà possiblement la correcta per el desxifratge amb AES, recorda canviar el mode a desxifratge
a la web. 

ACCÉS Usuaris: cafe1, cafe2, cafe3... [Pots utilitzar l'usuari amb el número que t'agradi, fins al màxim de 50 números]

Pass: patata 
IP SSH: 13.93.89.25",67453,100
Tokyo,3,gm,"Encara que hem vist que teniu força i coneixements, no sabem si podem confiar amb vosaltres perquè podríeu ser qui va crear el virus. 

Per poder-nos fiar de vosaltres, necessitarem un codi. Missió: El codi esta ocult dins la pagina: http://donuts.batcave.net/",262656,100
Tokyo,4,gs,"Encara que hem vist que teniu força i coneixements, no sabem si podem confiar amb vosaltres perquè podríeu ser 
qui va crear el virus. Per poder-nos fiar de vosaltres, necessitarem un codi. Canvi.

Missió: Sumar tots els nombres parells de (l’1 - al 1024)

Amb Java s’haurà de realitzar un programa que permet-hi sumar els nombres parells des de 1 fins 1024.

El resultat, és el codi.",262656,100
Tokyo,5,tothom,"[WINDOWS] Ens heu demostrat que també sou de fiar, per la qual us donarem un programa que hem creat per detenir el virus. 

Sabem que el nostre programa pot eliminar-lo però..., tot i això, ens ho ha posat difícil i no hem pogut amb ell. 
Podreu vosaltres acabar amb ell? (Hi ha un arxiu Ajuda.txt dins la carpeta del joc, un cop descarregat i descomprimit) Canvi. 

https://drive.google.com/file/d/1P4wwXqz4XiR3_8WWqL-ZFowHGlnKeYTZ/view?usp=sharing 

Missió: Passar-se el joc.",11037,200
Wuhan,1,tothom,"A las maquinas de café se les introdujo un virus que no las deja funcionar correctamente y se estan apoderando de las cafeterías, debes conseguir que paren de hacer lo que les apetezca y que vuelvan a la normalidad entrando a esta IP con el PUTTY: 40.118.28.34, ojo no puedes entrar con tu identidad por lo que deberas de entrar con el nombre en clave de ""zimbabue"" cuya contraseña es patata",88971,100
Wuhan,2,tothom,"Las maquinas de cafè son fieles seguidoras de la saga de star wars, por ese motivo para poderte infiltrar en sus filas tienes que responder a la siguiente pregunta: Cúal es el nombre que adoptó el personatge de Star Wars R2-D2 en castellano?",arturito,100
Wuhan,3,tothom,"Hay un archivo corrupto en alguna de las carpetas ""home"". Encuentralo e introduce el numero que contiene para salvar el sistema. Este codigo es la unica salvación contra las maquinas de cafe. (La pista se encuentra en el laberinto de carpetas en un usuario cuyos digitos suman 10)",310315,100
Wuhan,4,gm,"Las maquinas de cafe no te ven capaz de programar una página web en html y creen saber que ni de coña superas esta prueba, para demostrarles tus conocimientos del html entra en la página web del servidor con la IP antes proporcionada i encuentra el codigo oculto.",563627,200
Wuhan,5,gs,Necesitamos obtener un codigo que desactivará al fin las maquinas de cafe de una vez por todas: Este se puede optener mediante la suma de todos los múltiplos de 7 del 1 hasta el 100000.,714264285,200
